ID,Academic Background,Major,Interests,Skills,Job Position,Salary (SAR/month),Certifications,Tools,Job Description,Suggested Learning Path
1446,Technology,AI & Robotics,"Data Science, Machine Learning, Web Development","Java, TensorFlow, Kubernetes, Cloud Computing",AI Engineer,15000 - 45000 SAR,"TensorFlow Developer Certificate, Google ML Certification","MATLAB, Google Cloud, Arduino","Develops AI and machine learning models for smart city projects, autonomous vehicles, and intelligent customer service applications tailored to Saudi businesses.","Neural Networks and Deep Learning, AI for Business, Reinforcement Learning"
1447,Technology,Software Engineering,"Machine Learning, Data Science, Blockchain","Android Development, Kubernetes, C++, Cloud Computing",Cloud Architect,18750 - 56250 SAR,"Google Cloud Architect, AWS Certified Solutions Architect","Power BI, Microsoft Azure, Google Cloud","Designs and manages cloud solutions for large enterprises, government entities, and startups in Saudi Arabia, focusing on compliance with local data security laws.","AWS Certified Solutions Architect, Google Cloud Platform Training, Azure Cloud Security"
1448,Technology,Computer Science,"Web Development, Cloud Computing, Data Science","AWS, React, iOS Development, Swift",Cloud Architect,15000 - 45000 SAR,"AWS Certified Solutions Architect, Google Cloud Architect","IBM Watson, TensorFlow, Jupyter Notebook","Designs and manages cloud solutions for large enterprises, government entities, and startups in Saudi Arabia, focusing on compliance with local data security laws.","AWS Certified Solutions Architect, Google Cloud Platform Training, Azure Cloud Security"
1449,Business,Human Resources,"Business Strategy, Sales, Entrepreneurship","E-commerce, Google Analytics, Presentation Skills, Negotiation",HR Specialist,22500 - 60000 SAR,"PMP, None","Salesforce, Google Analytics, Oracle ERP","Manages recruitment and employee relations for Saudi-based companies, ensuring compliance with labor laws and Saudization policies.","HR Analytics & People Management, Recruitment & Talent Acquisition, Employee Engagement"
1450,Technology,Software Engineering,"Blockchain, Web Development, Machine Learning","Android Development, Swift, React, Cloud Computing",AI Engineer,18750 - 56250 SAR,"None, Google ML Certification","Arduino, Tableau, Google Cloud","Develops AI and machine learning models for smart city projects, autonomous vehicles, and intelligent customer service applications tailored to Saudi businesses.","Neural Networks and Deep Learning, AI for Business, Reinforcement Learning"
1451,Business,Project Management,"Digital Marketing, Business Strategy, Sales","Excel, Presentation Skills, Google Analytics, Project Management",Business Analyst,22500 - 60000 SAR,"None, Certified Business Analysis Professional (CBAP)","Asana, Trello, Google Analytics","Analyzes market trends in Saudi Arabia, provides data-driven recommendations to companies, and optimizes business operations for growth.","Data Visualization for Business, SQL for Business Analytics, Excel Power Query"
1452,Business,Marketing,"Digital Marketing, Business Strategy, Consulting","Excel, Social Media Marketing, Financial Analysis, Supply Chain Management",Data Analyst,16875 - 45000 SAR,"Python for Data Analysis, Google Data Analytics Certificate","Monday.com, Asana, Oracle ERP","Extracts insights from large datasets using Python, SQL, and visualization tools to support business decisions.","SQL for Data Science, Google Data Analytics Certificate, Power BI & Tableau"
1453,Business,Human Resources,"Digital Marketing, Business Strategy, Sales","Supply Chain Management, Social Media Marketing, SEO, Negotiation",HR Specialist,16875 - 45000 SAR,"PMP, HR Professional Certificate","Asana, Hootsuite, Trello","Manages recruitment and employee relations for Saudi-based companies, ensuring compliance with labor laws and Saudization policies.","HR Analytics & People Management, Recruitment & Talent Acquisition, Employee Engagement"
1454,Business,Human Resources,"Sales, Consulting, Digital Marketing","Project Management, Salesforce, Google Analytics, Supply Chain Management",Financial Analyst,16875 - 45000 SAR,"Chartered Financial Analyst (CFA), Certified Financial Planner (CFP)","Trello, Asana, Hootsuite","Analyzes financial data, creates reports, and provides strategic recommendations for business growth.","Financial Modeling & Valuation, CFA Preparation Courses, Investment Analysis"
1455,Technology,Cyber Security,"Machine Learning, Blockchain, Cloud Computing","Data Analysis, Python, API Development, iOS Development",Frontend Developer,18750 - 56250 SAR,"Google Mobile Web Specialist, None","GitHub, Oracle Cloud, Docker","Designs and builds user-friendly interfaces in Arabic and English, ensuring accessibility and responsiveness for Saudi-based web platforms and mobile applications.","JavaScript Mastery, React.js Development, Web Performance Optimization"
1456,Technology,AI & Robotics,"Web Development, Data Science, Blockchain","C++, API Development, Blockchain, AWS",Cloud Architect,26250 - 67500 SAR,"AWS Certified Solutions Architect, Google Cloud Architect","Apache Spark, Microsoft Azure, IBM Watson","Designs and manages cloud solutions for large enterprises, government entities, and startups in Saudi Arabia, focusing on compliance with local data security laws.","AWS Certified Solutions Architect, Google Cloud Platform Training, Azure Cloud Security"
1457,Technology,Computer Science,"Web Development, Cloud Computing, Data Science","TensorFlow, Kubernetes, Swift, SQL",Cloud Architect,15000 - 45000 SAR,"Google Cloud Architect, None","Jupyter Notebook, Microsoft Azure, Apache Spark","Designs and manages cloud solutions for large enterprises, government entities, and startups in Saudi Arabia, focusing on compliance with local data security laws.","AWS Certified Solutions Architect, Google Cloud Platform Training, Azure Cloud Security"
1458,Design,UI/UX,"Branding, UI/UX, Motion Graphics","Motion Graphics, Graphic Design, Product Prototyping, Wireframing",Graphic Designer,13125 - 37500 SAR,"Adobe Certified Expert, 3D Modeling Certification","Adobe XD, CorelDRAW, Procreate","Creates branding and marketing materials for Saudi businesses, including social media campaigns, product packaging, and corporate identity materials.","Advanced Photoshop Techniques, 3D Design with Blender, Typography & Branding"
1459,Technology,Software Engineering,"Blockchain, App Development, Data Science","iOS Development, Machine Learning, API Development, AWS",AI Engineer,26250 - 67500 SAR,"Google ML Certification, None","Oracle Cloud, Jupyter Notebook, Apache Spark","Develops AI and machine learning models for smart city projects, autonomous vehicles, and intelligent customer service applications tailored to Saudi businesses.","Neural Networks and Deep Learning, AI for Business, Reinforcement Learning"
1460,Design,Graphic Design,"3D Design, Motion Graphics, Illustration","Typography, Product Prototyping, Blender, Motion Graphics",3D Artist,16875 - 45000 SAR,"3D Animation Certificate, Blender Certification","Maya, Affinity Designer, Krita","Designs 3D assets for gaming, architectural visualization, and media production in Saudi Arabia, using tools like Blender and Cinema 4D.",General Career Development
1461,Design,Graphic Design,"Illustration, Branding, 3D Design","3D Animation, Typography, Brand Identity, Sketch",UX Engineer,16875 - 45000 SAR,None,"Cinema 4D, Krita, Canva","Combines user experience design principles with front-end development, focusing on creating interactive and accessible digital experiences.",General Career Development
1462,Design,Graphic Design,"3D Design, Illustration, UI/UX","Cinema 4D, Product Prototyping, Adobe Photoshop, After Effects",Motion Graphics Designer,16875 - 45000 SAR,"Adobe After Effects Certification, Motion Graphics Pro","CorelDRAW, Procreate, Blender","Produces animated content for advertising agencies, entertainment companies, and digital media projects in Saudi Arabia.",General Career Development
1463,Business,Finance,"Consulting, Sales, Entrepreneurship","Excel, Google Analytics, Presentation Skills, E-commerce",Data Analyst,20625 - 56250 SAR,"None, Google Data Analytics Certificate","HubSpot, Salesforce, Trello","Extracts insights from large datasets using Python, SQL, and visualization tools to support business decisions.","SQL for Data Science, Google Data Analytics Certificate, Power BI & Tableau"
1464,Design,Product Design,"UI/UX, Illustration, 3D Design","Illustrator, Brand Identity, 3D Animation, Motion Graphics",Motion Graphics Designer,16875 - 45000 SAR,"Motion Graphics Pro, None","Figma, Adobe XD, Affinity Designer","Produces animated content for advertising agencies, entertainment companies, and digital media projects in Saudi Arabia.",General Career Development
1465,Design,Animation,"3D Design, Illustration, UI/UX","UI/UX Research, After Effects, Wireframing, 3D Animation",UX Engineer,18750 - 52500 SAR,None,"Sketch, Adobe XD, Procreate","Combines user experience design principles with front-end development, focusing on creating interactive and accessible digital experiences.",General Career Development
1466,Design,Graphic Design,"Motion Graphics, 3D Design, Illustration","Sketch, Motion Graphics, Figma, Cinema 4D",Motion Graphics Designer,16875 - 45000 SAR,"Motion Graphics Pro, None","Procreate, Adobe XD, ZBrush","Produces animated content for advertising agencies, entertainment companies, and digital media projects in Saudi Arabia.",General Career Development
1467,Business,Project Management,"Digital Marketing, Sales, Business Strategy","Google Analytics, Project Management, Excel, Salesforce",Sales Manager,22500 - 60000 SAR,"None, Salesforce Certification","Microsoft Power BI, Monday.com, Salesforce","Leads sales teams for multinational and local businesses in Saudi Arabia, develops partnerships, and drives revenue growth.","Advanced Negotiation Skills, CRM & Sales Automation, B2B Marketing Strategies"
1468,Business,Human Resources,"Business Strategy, Entrepreneurship, Digital Marketing","Salesforce, E-commerce, Financial Analysis, Advertising",HR Specialist,16875 - 45000 SAR,"PMP, None","Google Analytics, HubSpot, Oracle ERP","Manages recruitment and employee relations for Saudi-based companies, ensuring compliance with labor laws and Saudization policies.","HR Analytics & People Management, Recruitment & Talent Acquisition, Employee Engagement"
1469,Business,Finance,"Business Strategy, Sales, Consulting","Presentation Skills, Negotiation, SEO, Google Analytics",Fintech Business Analyst,20625 - 56250 SAR,"None, AI in Finance","Asana, Hootsuite, Google Analytics",Bridges finance and technology by working with developers to optimize fintech solutions and ensure regulatory compliance.,"Blockchain & Cryptocurrency Fundamentals, AI in Financial Services, RegTech & Compliance"
1470,Technology,Cyber Security,"Data Science, Blockchain, Cloud Computing","Machine Learning, Cybersecurity, Blockchain, Kubernetes",Cloud Architect,18750 - 56250 SAR,"None, AWS Certified Solutions Architect","Power BI, TensorFlow, Docker","Designs and manages cloud solutions for large enterprises, government entities, and startups in Saudi Arabia, focusing on compliance with local data security laws.","AWS Certified Solutions Architect, Google Cloud Platform Training, Azure Cloud Security"
